snapshot_date,captured_at,href,title,concept_doi,latest_version_doi,latest_record_id,views,unique_views,downloads,unique_downloads,version_views,version_unique_views,version_downloads,version_unique_downloads
2026-09-14,2026-09-14T22:48:13Z,papers/lifecycle1.html,Periodic Table of Life (Part I) — From Causality to Reproduction,10.5281/zenodo.18818106,10.5281/zenodo.18818107,18818107,180,178,54,53,180,178,54,53
2026-09-14,2026-09-14T22:48:13Z,papers/lifecycle2.html,Periodic Table of Life (Part II) — From Reproduction to Prediction,10.5281/zenodo.18818148,10.5281/zenodo.18818149,18818149,170,169,57,56,170,169,57,56
2026-09-14,2026-09-14T22:48:13Z,papers/lifecycle3.html,"Periodic Table of Life (Part III) — From ""I"" to the Thing-in-Itself",10.5281/zenodo.18818176,10.5281/zenodo.18818177,18818177,187,185,70,70,187,185,70,70
2026-09-14,2026-09-14T22:48:13Z,papers/remainder-eternal.html,Remainder Conservation and the Eternal Life of Self-as-an-End,10.5281/zenodo.18821951,10.5281/zenodo.18821952,18821952,199,199,68,68,199,199,68,68
2026-09-14,2026-09-14T22:48:13Z,papers/language.html,Language as Second-Order Chisel,10.5281/zenodo.18823130,10.5281/zenodo.18823131,18823131,205,204,81,77,205,204,81,77
2026-09-14,2026-09-14T22:48:13Z,papers/llm1.html,The Ontological Positioning of Large Language Models,10.5281/zenodo.18826632,10.5281/zenodo.18826633,18826633,278,268,142,129,278,268,142,129
2026-09-14,2026-09-14T22:48:13Z,papers/llm2.html,The Three Ceilings of Large Language Models,10.5281/zenodo.18827427,10.5281/zenodo.18827428,18827428,251,249,88,83,251,249,88,83
2026-09-14,2026-09-14T22:48:13Z,papers/llm3.html,Injection and Chiseling: Two Modes of Language Model Operation,10.5281/zenodo.18828470,10.5281/zenodo.18828471,18828471,223,215,102,92,223,215,102,92
2026-09-14,2026-09-14T22:48:13Z,papers/consciousness.html,The Impossibility Theorem of AI Consciousness,10.5281/zenodo.18829135,10.5281/zenodo.18829136,18829136,272,268,92,87,272,268,92,87
2026-09-14,2026-09-14T22:48:13Z,papers/methodology.html,SAE Methodological Overview: The Chisel-Construct Cycle (V3),10.5281/zenodo.18842449,10.5281/zenodo.21911811,21911811,347,341,187,173,24,23,25,23
2026-09-14,2026-09-14T22:48:13Z,papers/philosophy-history.html,Structural Coordinates of the History of Philosophy,10.5281/zenodo.18842896,10.5281/zenodo.18842897,18842897,113,110,65,62,113,110,65,62
2026-09-14,2026-09-14T22:48:13Z,papers/fixed-selected-1.html,Fixation and Selection (I) — Causal Law Forecloses Distinction,10.5281/zenodo.18859362,10.5281/zenodo.18859363,18859363,203,203,78,76,203,203,78,76
2026-09-14,2026-09-14T22:48:13Z,papers/fixed-selected-2.html,Fixation and Selection (II) — Reproductive Law Forecloses Replication,10.5281/zenodo.18859392,10.5281/zenodo.18859393,18859393,180,180,57,57,180,180,57,57
2026-09-14,2026-09-14T22:48:13Z,papers/fixed-selected-3.html,Fixation and Selection (III) — Predictive Law Forecloses Choice,10.5281/zenodo.18859426,10.5281/zenodo.18859427,18859427,182,181,50,50,182,181,50,50
2026-09-14,2026-09-14T22:48:13Z,papers/fixed-selected-4.html,Fixation and Selection (IV) — Bilateral Non-Doubt Forecloses Self-Awareness,10.5281/zenodo.18859451,10.5281/zenodo.18859452,18859452,192,191,65,65,192,191,65,65
2026-09-14,2026-09-14T22:48:13Z,papers/education.html,Education as Subject-Condition: A Philosophy of Education,10.5281/zenodo.18867389,10.5281/zenodo.18867390,18867390,265,261,129,121,265,261,129,121
2026-09-14,2026-09-14T22:48:13Z,papers/consciousness2.html,Posterior Quasi-Consciousness,10.5281/zenodo.18871234,10.5281/zenodo.18871235,18871235,232,225,74,69,232,225,74,69
2026-09-14,2026-09-14T22:48:13Z,papers/metaphysics-satz.html,Metaphysics of Self-as-an-End: Dimensional Sentence-Form Theory,10.5281/zenodo.18894566,10.5281/zenodo.18894567,18894567,220,220,67,65,220,220,67,65
2026-09-14,2026-09-14T22:48:13Z,papers/introspection.html,To Study the Self: A Structural Analysis of Introspection,10.5281/zenodo.18897146,10.5281/zenodo.18897147,18897147,198,198,77,76,198,198,77,76
2026-09-14,2026-09-14T22:48:13Z,papers/civ-history-ancient.html,Structural Coordinates of the History of Civilization (Vol. I: The Ancient World),10.5281/zenodo.18898185,10.5281/zenodo.18898186,18898186,190,187,61,60,190,187,61,60
2026-09-14,2026-09-14T22:48:13Z,papers/civ-history-medieval.html,Structural Coordinates of the History of Civilization (Vol. II: The Medieval World),10.5281/zenodo.18898225,10.5281/zenodo.18898226,18898226,194,191,63,62,194,191,63,62
2026-09-14,2026-09-14T22:48:13Z,papers/civ-history-modern.html,Structural Coordinates of the History of Civilization (Vol. III: The Modern World),10.5281/zenodo.18898256,10.5281/zenodo.18898257,18898257,184,182,69,66,184,182,69,66
2026-09-14,2026-09-14T22:48:13Z,papers/civ-history-patterns.html,Structural Coordinates of the History of Civilization (Vol. IV: Structural Patterns),10.5281/zenodo.18898262,10.5281/zenodo.18898263,18898263,178,176,67,66,178,176,67,66
2026-09-14,2026-09-14T22:48:13Z,papers/hc16.html,HC-16: A Sixteen-Type Taxonomy of Subjective Vulnerability Profiles within the Self-as-an-End Framework,10.5281/zenodo.18907263,10.5281/zenodo.18907264,18907264,197,196,79,79,197,196,79,79
2026-09-14,2026-09-14T22:48:13Z,papers/sae-taxonomy-chiseling.html,Taxonomy as Chiseling: A Self-as-an-End Theory of Classification,10.5281/zenodo.18907876,10.5281/zenodo.18907877,18907877,204,204,71,67,204,204,71,67
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho.html,On the Remainder of Choice: A Meta-Theoretic Thesis on ZFC,10.5281/zenodo.18914682,10.5281/zenodo.18916920,18916920,347,341,143,133,300,296,122,114
2026-09-14,2026-09-14T22:48:13Z,papers/myth.html,Myth as Remainder Intuition: A Mythology Application of the Self-as-an-End Framework,10.5281/zenodo.18917795,10.5281/zenodo.18917796,18917796,196,196,57,57,196,196,57,57
2026-09-14,2026-09-14T22:48:13Z,papers/sae-epistemological-map.html,The Epistemological Map of Chisel-Construct,10.5281/zenodo.18918194,10.5281/zenodo.18918195,18918195,196,196,46,45,196,196,46,45
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho2.html,The Quantitative Identity of the Remainder: From ρ≠∅ to Euler's Formula,10.5281/zenodo.18927658,10.5281/zenodo.21539092,21539092,225,219,74,70,36,34,17,17
2026-09-14,2026-09-14T22:48:13Z,papers/sae-american-history.html,Structural Coordinates of American Institutional History: A Self-as-an-End Application,10.5281/zenodo.18929075,10.5281/zenodo.18929076,18929076,179,179,46,43,179,179,46,43
2026-09-14,2026-09-14T22:48:13Z,papers/methodology3.html,How to Find Remainders with AI,10.5281/zenodo.18929390,10.5281/zenodo.18929391,18929391,229,228,84,82,229,228,84,82
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho3.html,ρ-Conservation: The Ineliminability Law of the Remainder across the Layer Hierarchy,10.5281/zenodo.18929819,10.5281/zenodo.18929820,18929820,186,183,70,66,186,183,70,66
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho4.html,A Draft Term Model for ρ-Arithmetic: First Steps toward a History-Preserving Arithmetic Framework,10.5281/zenodo.18930810,10.5281/zenodo.18930811,18930811,192,191,73,71,192,191,73,71
2026-09-14,2026-09-14T22:48:13Z,papers/ai-arch-1.html,Who Sees the Remainder for AI,10.5281/zenodo.18931008,10.5281/zenodo.18931009,18931009,196,193,96,90,196,193,96,90
2026-09-14,2026-09-14T22:48:13Z,papers/ai-arch-2.html,"Cultivation, Not Training",10.5281/zenodo.18931026,10.5281/zenodo.18931027,18931027,185,184,73,69,185,184,73,69
2026-09-14,2026-09-14T22:48:13Z,papers/ai-arch-3.html,Escape,10.5281/zenodo.18931038,10.5281/zenodo.18931039,18931039,180,177,66,62,180,177,66,62
2026-09-14,2026-09-14T22:48:13Z,papers/understand-self.html,To Understand the Self: Eight Pains and Eight Graces in the Self-as-an-End Framework,10.5281/zenodo.18934125,10.5281/zenodo.18934126,18934126,190,190,54,53,190,190,54,53
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho5.html,Generation Axioms and Structural Induction: Proof Tools for ρ-Arithmetic,10.5281/zenodo.18934515,10.5281/zenodo.18934516,18934516,183,183,64,63,183,183,64,63
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho6.html,Recursive Definition of ρ and Expression Compression Complexity,10.5281/zenodo.18934531,10.5281/zenodo.18934532,18934532,183,183,67,67,183,183,67,67
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho7.html,The Term Model of ρ-Arithmetic,10.5281/zenodo.18943944,10.5281/zenodo.18943945,18943945,185,184,57,57,185,184,57,57
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho8.html,Proof-Theoretic Equivalence and Conservative Extension of ρ-Arithmetic,10.5281/zenodo.18952912,10.5281/zenodo.18952913,18952913,176,176,62,62,176,176,62,62
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho9.html,Exact Combinatorics of History Fibers,10.5281/zenodo.18963539,10.5281/zenodo.18963540,18963540,186,185,72,71,186,185,72,71
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho10.html,The Spectral Counting Polynomial and Fiber ρ-Statistics,10.5281/zenodo.18973559,10.5281/zenodo.18973560,18973560,182,182,67,67,182,182,67,67
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho11.html,The First Asymptotic Theory of ρ_E,10.5281/zenodo.18975756,10.5281/zenodo.18975757,18975757,179,179,93,91,179,179,93,91
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho12.html,Staircase Geometry of δ and Jump-Gap Theory,10.5281/zenodo.18977948,10.5281/zenodo.18977949,18977949,182,182,79,79,182,182,79,79
2026-09-14,2026-09-14T22:48:13Z,papers/chisel-music.html,Chisel and Construct: The Universal Structure of Temporal Arts — Essay I: Music and Song,10.5281/zenodo.18989565,10.5281/zenodo.18989566,18989566,167,167,54,54,167,167,54,54
2026-09-14,2026-09-14T22:48:13Z,papers/chisel-opera.html,Chisel and Construct: The Universal Structure of Temporal Arts — Essay II: Opera and Chinese Opera,10.5281/zenodo.18989669,10.5281/zenodo.18989670,18989670,157,157,49,49,157,157,49,49
2026-09-14,2026-09-14T22:48:13Z,papers/chisel-dance.html,Chisel and Construct: The Universal Structure of Temporal Arts — Essay III: Ballet and Dance,10.5281/zenodo.18989701,10.5281/zenodo.18989702,18989702,164,157,71,51,164,157,71,51
2026-09-14,2026-09-14T22:48:13Z,papers/chisel-film.html,Chisel and Construct: The Universal Structure of Temporal Arts — Essay IV: Theatre and Film,10.5281/zenodo.18989755,10.5281/zenodo.18989756,18989756,175,175,71,71,175,175,71,71
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho13.html,Algebraic Structure and Conditional Distribution of Jump Gain,10.5281/zenodo.18991986,10.5281/zenodo.18991987,18991987,190,190,56,56,190,190,56,56
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho14.html,Reduction to Bounded Conditional Variance: Three-Component Decomposition of Jump Gain,10.5281/zenodo.18994187,10.5281/zenodo.18994188,18994188,185,185,63,63,185,185,63,63
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho15.html,"Sieve Structure, Compositeness Discount, and the Architecture of Conjecture H'",10.5281/zenodo.19007312,10.5281/zenodo.19007313,19007313,230,227,91,88,230,227,91,88
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho16.html,"The Insertion Identity, Variance Splitting, and the Relay Engine of Conjecture H'",10.5281/zenodo.19013602,10.5281/zenodo.19013603,19013603,202,201,69,68,202,201,69,68
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho17.html,"Monotonicity, Roughness Stability, and the Narrowing of the Relay Architecture",10.5281/zenodo.19016958,10.5281/zenodo.19016959,19016959,193,193,71,71,193,193,71,71
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho18.html,The Anti-Correlation Engine: Variance Structure of ρ_E and the Local Smoothness of Integer Complexity,10.5281/zenodo.19024385,10.5281/zenodo.19024386,19024386,205,204,80,78,205,204,80,78
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho19.html,"The Three-Point Law, Self-Correction, and the Narrowing of the Variance Gap",10.5281/zenodo.19026991,10.5281/zenodo.19026992,19026992,184,184,64,64,184,184,64,64
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho20.html,Closing the B-bound: The Prime-Power Second Moment Theorem and the First Unconditional Node,10.5281/zenodo.19027892,10.5281/zenodo.19027893,19027893,180,176,46,42,180,176,46,42
2026-09-14,2026-09-14T22:48:13Z,papers/interstellar-civilization.html,Interstellar Civilization Thought Experiment: SAE-1 to SAE-4 Civilization Levels and the Group Dimension,10.5281/zenodo.19027894,10.5281/zenodo.19027895,19027895,169,169,72,72,169,169,72,72
2026-09-14,2026-09-14T22:48:13Z,papers/cosmological-thought-experiment.html,"Cosmological Physics Thought Experiment: Causality Softening, Cosmic Contraction, and Gravitational-Wave Inelasticity",10.5281/zenodo.19028005,10.5281/zenodo.19028006,19028006,182,182,75,72,182,182,75,72
2026-09-14,2026-09-14T22:48:13Z,papers/sae-critique-ethics.html,One's Own Law: The SAE Critique of Ethics and Morality,10.5281/zenodo.19037566,10.5281/zenodo.19037567,19037567,179,179,54,52,179,179,54,52
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho21.html,Queue Isomorphism and the Local Lipschitz Reduction for Selection Cost,10.5281/zenodo.19037934,10.5281/zenodo.19037935,19037935,182,181,61,57,182,181,61,57
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho22.html,Unbounded Mean Gain and the Closure of Assumption A',10.5281/zenodo.19039953,10.5281/zenodo.19039954,19039954,177,177,60,58,177,177,60,58
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho23.html,Concentration of Compositeness Discount and Quantitative Convergence of D(N) → 1,10.5281/zenodo.19041689,10.5281/zenodo.19041690,19041690,159,159,43,42,159,159,43,42
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho24.html,Prime-Stratified Decomposition of the Insertion Measure and a Defect-Gap Inequality,10.5281/zenodo.19044696,10.5281/zenodo.19044697,19044697,182,182,44,43,182,182,44,43
2026-09-14,2026-09-14T22:48:13Z,papers/terrible-twos.html,What Terrible Twos Actually Is: The Structural Genesis of Self-Awareness,10.5281/zenodo.19044827,10.5281/zenodo.19044828,19044828,180,180,67,66,180,180,67,66
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho25.html,Dyadic Shell Constant and Positivity of the Predecessor Gap,10.5281/zenodo.19054726,10.5281/zenodo.19054727,19054727,182,182,56,55,182,182,56,55
2026-09-14,2026-09-14T22:48:13Z,papers/forget-self.html,To Forget the Self: From Self-Understanding to Structural Respect for the Other,10.5281/zenodo.19059139,10.5281/zenodo.19059140,19059140,164,164,70,69,164,164,70,69
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho26.html,"Prime Source Term, Additive Decomposition, and the Positivity of the Predecessor Gap",10.5281/zenodo.19059834,10.5281/zenodo.19062464,19062464,209,203,122,120,174,173,88,87
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho27.html,Upper Reflection Criterion for Composite Drift and Numerical Verification,10.5281/zenodo.19062684,10.5281/zenodo.19062685,19062685,197,195,92,91,197,195,92,91
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho28.html,"Universal Scale Attenuation, Weighted Attenuation Decomposition, and a Three-Step Framework for Lower Reflection",10.5281/zenodo.19078654,10.5281/zenodo.19078902,19078902,181,181,98,96,164,164,80,78
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho29.html,"Conceptual Audit of D(N) vs Dyadic Gap, Scale Correction of the Height Distribution, and Discrete Concentration of Pred Gap",10.5281/zenodo.19083884,10.5281/zenodo.19101841,19101841,204,204,82,82,177,177,46,46
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho30.html,"First Direct Measurement of D(N), Multiplicative Decomposition, and Structural Constraints on H'",10.5281/zenodo.19101810,10.5281/zenodo.19101811,19101811,168,167,53,52,168,167,53,52
2026-09-14,2026-09-14T22:48:13Z,papers/artist-is-dead.html,The Artist Is Dead: One-Dimensional Civilization Is the Killer,10.5281/zenodo.19104160,10.5281/zenodo.19104161,19104161,190,189,55,55,190,189,55,55
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho31.html,"The Layer-by-Layer Bottleneck Map for H' — Stratified Framework, Moving Bottleneck, and Ω-Universal Scale Attenuation",10.5281/zenodo.19104860,10.5281/zenodo.19104861,19104861,172,172,58,58,172,172,58,58
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho32.html,Fixed-Core Locking and Prime-Core Profile — The Residual Floor Structure of H',10.5281/zenodo.19116625,10.5281/zenodo.19116626,19116626,162,162,102,100,162,162,102,100
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho33.html,Fixed-Core Margin Drift and Harmonic Closure of H' at the Ω=2 Layer,10.5281/zenodo.19124485,10.5281/zenodo.19158793,19158793,186,183,44,43,169,166,31,31
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho34.html,Upper-Margin Closure and the Bounded-Variance Phenomenon,10.5281/zenodo.19140015,10.5281/zenodo.19158789,19158789,206,202,42,41,189,187,21,21
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho35.html,Congruence Relaxation and the Erosion of Predecessor Advantage,10.5281/zenodo.19143732,10.5281/zenodo.19143995,19143995,189,186,111,106,170,167,77,73
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho36.html,"The 1/φ(m) Local Model, Explanation Rate Plateau, and Global DP Path Effects",10.5281/zenodo.19153002,10.5281/zenodo.19153003,19153003,209,200,1511,1511,209,200,1511,1511
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho37.html,The Entry-Continuation Decomposition and Quantitative Closure of B-C Erosion,10.5281/zenodo.19155792,10.5281/zenodo.19158779,19158779,182,181,78,74,167,166,59,55
2026-09-14,2026-09-14T22:48:13Z,papers/applied2.html,"SAE Application: Sentence Level, Subject Condition, and the Limits of Prompt Engineering",10.5281/zenodo.19157713,10.5281/zenodo.19157714,19157714,183,183,60,57,183,183,60,57
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho38.html,Ratio-Parametrization of G and the Composition-Shift Reinterpretation of B-C Erosion,10.5281/zenodo.19157939,10.5281/zenodo.19158742,19158742,195,193,68,67,183,181,50,49
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho39.html,Shifted-Product Deficit and the Logarithmic Growth of M_loc at the Ω=2 Layer,10.5281/zenodo.19164588,10.5281/zenodo.19164589,19164589,173,173,45,44,173,173,45,44
2026-09-14,2026-09-14T22:48:13Z,papers/dream.html,"Sequential Dependence in Consciousness: DD-Layer Reconstruction in Sleep, Dreams, and Anesthesia",10.5281/zenodo.19176873,10.5281/zenodo.19244588,19244588,182,181,75,75,163,163,58,58
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho40.html,Direct Positive Slope of M̄ and Strong Numerical Support for Ω=2 Closure,10.5281/zenodo.19179778,10.5281/zenodo.19179779,19179779,174,174,102,94,174,174,102,94
2026-09-14,2026-09-14T22:48:13Z,papers/life-and-death.html,"Life and Death, Self and No-Self",10.5281/zenodo.19201237,10.5281/zenodo.19201238,19201238,189,188,57,56,189,188,57,56
2026-09-14,2026-09-14T22:48:13Z,papers/terrible-teens.html,What Terrible Teens Actually Is: The Structural Genesis of Purpose,10.5281/zenodo.19201631,10.5281/zenodo.19201632,19201632,155,155,74,72,155,155,74,72
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho41.html,"Unified Recursive Framework, Ω≤6 Positive-Slope Closure Signal, and the Ω=2–8 Slope Spectrum",10.5281/zenodo.19201877,10.5281/zenodo.19201878,19201878,175,175,66,65,175,175,66,65
2026-09-14,2026-09-14T22:48:13Z,papers/fixation-radiation.html,"Fixation, Fragility, and Radiation: A Structural Theory of Mass Extinction Dynamics",10.5281/zenodo.19225113,10.5281/zenodo.19225114,19225114,168,168,69,69,168,168,69,69
2026-09-14,2026-09-14T22:48:13Z,papers/consciousness-daily.html,Daily Applications of Consciousness Discontinuity: Clearing and Reloading the 12DD Predictive Cache,10.5281/zenodo.19226545,10.5281/zenodo.19226546,19226546,165,165,70,68,165,165,70,68
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho42.html,"A Conditional Closure Route for H': Turning Point Elimination, Uniform Weighted Lemma, Frontier Reduction, and Three Residual Inputs",10.5281/zenodo.19226607,10.5281/zenodo.19226735,19226735,181,181,96,95,165,165,79,78
2026-09-14,2026-09-14T22:48:13Z,papers/language-remainder.html,Language and Its Remainder: The Semantic Layer and the Ontological Layer in the Age of AI,10.5281/zenodo.19228557,10.5281/zenodo.19228558,19228558,169,169,57,57,169,169,57,57
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho43.html,"Four Faces of Self-Correction: Computational Verification of NI1–NI3 at N = 10¹⁰, Numerical Verification of Four Frontiers, and the Poly(k) Closing Route",10.5281/zenodo.19240183,10.5281/zenodo.19240184,19240184,179,179,59,58,179,179,59,58
2026-09-14,2026-09-14T22:48:13Z,papers/sae-cosmological-constant.html,From Remainder Conservation to the Cosmological Constant: Dark Energy in the Self-as-an-End Framework,10.5281/zenodo.19245267,10.5281/zenodo.19292256,19292256,189,188,80,80,176,175,59,59
2026-09-14,2026-09-14T22:48:13Z,papers/prime-presieve.html,Why Primes Have No Shortcuts: An O(1) Prime Pre-Sieve from Precomputed ρ_E Tables,10.5281/zenodo.19246377,10.5281/zenodo.19246378,19246378,173,173,64,64,173,173,64,64
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho44.html,"Why DP min Produces Local Smoothness: Reset-Slack Decomposition, Le Chatelier Dynamic Equilibrium, and Chisel-Remainder Coincidence",10.5281/zenodo.19247859,10.5281/zenodo.19247860,19247860,174,174,56,56,174,174,56,56
2026-09-14,2026-09-14T22:48:13Z,papers/terrible-telos.html,What Terrible Telos Actually Is: The Structural Genesis of Non Dubito,10.5281/zenodo.19248039,10.5281/zenodo.19248040,19248040,21,21,27,27,21,21,27,27
2026-09-14,2026-09-14T22:48:13Z,papers/methodology4.html,SAE Methodology Paper IV: The Twelve-State Transmission Model of Knowledge Evolution,10.5281/zenodo.19275104,10.5281/zenodo.19275105,19275105,186,186,46,46,186,186,46,46
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho45.html,"From Reset Slack to Historical Reservoir: Capacity-Allocation Law, Charge-Discharge Dynamics, and the Remainder Transfer Law",10.5281/zenodo.19275286,10.5281/zenodo.19275287,19275287,169,168,41,41,169,168,41,41
2026-09-14,2026-09-14T22:48:13Z,papers/sae-dark-matter.html,From Causality Phase Transition to Galaxy Rotation Curves: Dark Matter in the Self-as-an-End Framework,10.5281/zenodo.19276846,10.5281/zenodo.19292375,19292375,171,170,59,59,159,158,52,52
2026-09-14,2026-09-14T22:48:13Z,papers/sae-from-lambda-to-a0.html,From Λ to a₀: The Geometric Completion of the Dual-4DD Cosmological Programme,10.5281/zenodo.19281983,10.5281/zenodo.19281984,19281984,168,166,41,41,168,166,41,41
2026-09-14,2026-09-14T22:48:13Z,papers/sae-judgment-aesthetics.html,SAE Judgment and Aesthetics — In Tribute to Kant,10.5281/zenodo.19296710,10.5281/zenodo.19296711,19296711,183,183,54,53,183,183,54,53
2026-09-14,2026-09-14T22:48:13Z,papers/sae-inter-ontological.html,How Is the Inter-Ontological Possible: The Subjective Conditions and Emergent Structure of Freedom,10.5281/zenodo.19297847,10.5281/zenodo.19297848,19297848,212,210,66,64,212,210,66,64
2026-09-14,2026-09-14T22:48:13Z,papers/sae-geff-bbn-cmb.html,"G_eff in the SAE Framework: Plateau-Rise Profile, BBN/CMB Safety, and Three Open Tensions",10.5281/zenodo.19298161,10.5281/zenodo.19298162,19298162,176,175,43,43,176,175,43,43
2026-09-14,2026-09-14T22:48:13Z,papers/zfcrho46.html,"SPF Skeleton Reduction, Analytic Interface, and Conditional Closure of Conjecture 2",10.5281/zenodo.19303511,10.5281/zenodo.19303512,19303512,155,155,52,52,155,155,52,52
2026-09-14,2026-09-14T22:48:13Z,papers/sae-anti-turing.html,The SAE Anti-Turing Test: A Thermodynamic Falsification Method for AI Subjectivity,10.5281/zenodo.19305611,10.5281/zenodo.22655158,22655158,163,163,79,79,1,1,1,1
